燃費が良い,燃費,良い
経済的,経済
小回りが出来る,小回り,出来る
駐車しやすい,駐車,為る
ストレスが少ない,ストレス,少ない
車幅が狭い,車幅,狭い
車長が短い,車長,短い
カラーラインナップが多い,カラー,ラインナップ,多い
好きな車を見つけやすい,車,見付ける
維持費が安い,維持,安い
安全性能が高い,安全,性能,高い
事故での被害が少ない,事故,被害,少ない
狭路を運転しやすい,狭路,運転,為る
街乗りがしやすい,街乗り,為る
かっこいい,かっこ,良い
ボンネットが出っ張っている,ボンネット,出っ張る,居る
座席数が多い,座席,数,多い
六人以上乗れる,六,以上,乗る
三列シート,三,列,シート
家族全員収容できる,家族,全員,収容,出来る
荷物をたくさん積める,荷物,積む
荷物スペースが広い,荷物,スペース,広い
後部座席を倒せる,後部,座席,倒す
走行性能が高い,走行,性能,高い
最低地上高が高い,最低,地上,高い
悪路も運転しやすい,悪路,運転,為る
荷物の積み下ろしが楽,荷物,積み下ろし,楽
車高が低い,車高,低い
高齢者が乗りやすい,高齢,乗る
